SQ_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,SG_PARTIDO,DS_GENERO,DS_GRAU_INSTRUCAO,patrimonio_total,qtd_bens,tipo_principal
40002541596,CARLOS DE JESUS,DEPUTADO ESTADUAL,PODE,MASCULINO,SUPERIOR COMPLETO,30000.0,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002532790,LEANDRO ATIVISTA PCD,DEPUTADO ESTADUAL,PSD,MASCULINO,ENSINO MÉDIO COMPLETO,30000.0,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002536913,JONH SILVA,DEPUTADO ESTADUAL,NOVO,MASCULINO,SUPERIOR COMPLETO,30000.0,2,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002546985,FERNANDÃO,DEPUTADO ESTADUAL,PDT,MASCULINO,ENSINO MÉDIO COMPLETO,30000.0,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002551314,NELSON NOEL,DEPUTADO ESTADUAL,PSOL,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,28000.0,2,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002541587,RITA DA ENFERMAGEM,DEPUTADO FEDERAL,PODE,FEMININO,SUPERIOR INCOMPLETO,28000.0,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002542684,KATRYNA BERNARDO,DEPUTADO ESTADUAL,PSB,FEMININO,SUPERIOR COMPLETO,28000.0,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002533205,VIVIANE LIMA,DEPUTADO FEDERAL,REPUBLICANOS,FEMININO,ENSINO MÉDIO COMPLETO,25000.0,1,Dinheiro em espécie - moeda nacional
40002535268,ENEIDA VASCONCELOS,DEPUTADO ESTADUAL,PSTU,FEMININO,SUPERIOR COMPLETO,25000.0,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002536905,LICO ARAÚJO,DEPUTADO ESTADUAL,NOVO,MASCULINO,SUPERIOR INCOMPLETO,25000.0,2,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002542962,KIDSON MAIA,DEPUTADO ESTADUAL,PL,MASCULINO,SUPERIOR INCOMPLETO,25000.0,1,Quotas ou quinhões de capital
40002533206,SILAS CÂMARA,DEPUTADO FEDERAL,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,21234.77,2,Depósito bancário em conta corrente no País
